,City,Lat,Lng,Cloudiness,Country,Date,Humidity,Temp max,Wind Speed
348,sfantu gheorghe,65.6145,-37.6368,67,GL,2021-07-25,87,46.56,2.66
349,rungata,-3.7361,-38.6531,20,BR,2021-07-25,54,87.08,12.66
350,tiarei,59.7775,30.8181,58,RU,2021-07-25,54,71.65,3.85
351,palabuhanratu,43.3236,145.575,1,JP,2021-07-25,93,61.12,5.88
352,mahon,21.3469,-158.0858,40,US,2021-07-25,80,77.32,4.61
353,te anau,-20.5167,57.5167,40,MU,2021-07-25,56,71.98,11.5
354,kamenskoye,29.2747,82.1838,100,NP,2021-07-25,98,65.89,1.68
355,marathon,64.8378,-147.7164,90,US,2021-07-25,81,57.09,3.44
356,nishihara,2.7809,45.5005,58,SO,2021-07-25,74,74.53,16.15
357,enshi,36.3209,41.8754,0,IQ,2021-07-25,17,98.56,7.4
358,kuandian,20.7147,-77.9956,67,CU,2021-07-25,65,86.61,6.69
359,bogale,17.4924,44.1277,100,SA,2021-07-25,20,92.05,13.73
360,manicore,50.4592,48.1431,21,RU,2021-07-25,43,70.29,9.75
361,gat,69.2167,-51.1,40,GL,2021-07-25,40,53.62,12.66
362,caruray,-33.0117,17.9442,100,ZA,2021-07-25,56,66.25,10.98
363,qui nhon,18.6333,-91.8333,68,MX,2021-07-25,72,84,4.47
364,svetlogorsk,-20.2333,164.0167,6,NC,2021-07-25,79,72.09,14.72
365,tura,60.1432,-45.2371,100,GL,2021-07-25,74,45.27,13.38
366,asau,37.3667,118.0167,28,CN,2021-07-25,66,78.87,8.46
367,lakes entrance,40.1333,63.45,0,UZ,2021-07-25,11,101.32,15.75
368,villa union,-2.0428,-45.9592,63,BR,2021-07-25,54,87.13,4.27
369,gorbunki,54.4299,31.8996,30,RU,2021-07-25,58,70.36,4.21
370,zyryanovsk,11.2842,49.1816,71,SO,2021-07-25,52,86.9,5.46
371,sao filipe,69.4719,25.5112,100,NO,2021-07-25,80,50.11,7.87
372,evans,-10.7383,-37.8111,25,BR,2021-07-25,45,81.88,16.44
373,havoysund,51.3813,1.3862,82,GB,2021-07-25,78,70.92,4
374,moerai,46.6806,113.2792,100,MN,2021-07-25,59,64.51,13.44
375,kaitangata,27.9769,-114.0611,60,MX,2021-07-25,65,74.25,10.07
376,mandan,-15.7667,128.7333,26,AU,2021-07-25,72,60.78,0
377,kourou,42.0156,121.6589,97,CN,2021-07-25,79,74.59,7.63
378,barabai,19.8,105.7667,87,VN,2021-07-25,88,80.26,3.29
379,athabasca,59.5667,150.8,100,RU,2021-07-25,98,52.81,6.17
380,tasiilaq,-7.7958,-35.5872,75,BR,2021-07-25,53,82.74,15.68
381,caucaia,14.2,24.6667,95,SD,2021-07-25,79,71.67,15.86
382,otradnoye,60.34,102.2797,36,RU,2021-07-25,69,64.87,4.25
383,nemuro,-2.5364,-57.76,52,BR,2021-07-25,33,94.93,5.57
384,makakilo city,36.3,139.8,32,JP,2021-07-25,78,82.04,3.11
385,souillac,70.6333,147.9167,1,RU,2021-07-25,85,33.48,9.48
386,jumla,13.2167,80.3167,77,IN,2021-07-25,73,86.09,13.58
387,fairbanks,-30.65,153,0,AU,2021-07-25,58,42.17,7.58
388,jawhar,-29.6842,-53.8069,0,BR,2021-07-25,34,83.5,21.85
389,sinjar,1.1983,-70.1733,100,CO,2021-07-25,98,71.47,1.48
390,santa cruz del sur,39.9053,116.5994,0,CN,2021-07-25,75,82.98,6.71
391,najran,34.6391,-120.4579,90,US,2021-07-25,84,69.93,0
392,novouzensk,60.5544,-151.2583,90,US,2021-07-25,78,58.03,9.22
393,ilulissat,46.7805,41.8968,41,RU,2021-07-25,35,78.8,10.71
394,saldanha,50.3,87.7333,62,RU,2021-07-25,89,48.65,3.27
395,carmen,59.3666,16.5077,5,SE,2021-07-25,38,80.38,11.01
396,belushya guba,28.017,-97.5169,5,US,2021-07-25,47,91.49,9.22
397,poum,5.3505,48.5268,84,SO,2021-07-25,73,77.34,25.17
398,nanortalik,12.7794,45.0367,66,YE,2021-07-25,74,82.51,11.63
399,binzhou,10.75,-11.1167,100,GN,2021-07-25,80,81.05,3.11
400,gazli,14.8992,101.8207,100,TH,2021-07-25,84,79.56,15.14
401,maracacume,5.1033,73.0708,100,MV,2021-07-25,76,81.88,17.34
402,sobolevo,48.8002,-79.1996,25,CA,2021-07-25,70,71.58,8.66
403,tapaua,50.2814,113.2867,15,RU,2021-07-25,89,52.97,2.64
404,bosaso,27.8964,102.2634,41,CN,2021-07-25,91,64.9,2.19
405,karasjok,-22.2167,30,10,ZW,2021-07-25,41,59.45,11.41
406,simao dias,62.5833,6.1333,24,NO,2021-07-25,82,79.16,11.5
407,margate,67.45,153.6833,100,RU,2021-07-25,78,38.86,14.05
408,baruun-urt,34.9833,139.8667,2,JP,2021-07-25,87,81.01,9.55
409,guerrero negro,-2.635,115.2274,4,ID,2021-07-25,87,71.98,1.28
410,kununurra,26.7693,31.5021,0,EG,2021-07-25,18,96.91,10.31
411,fuxin,6.8662,101.3689,87,TH,2021-07-25,80,80.78,5.37
412,thanh hoa,13.5,100.45,100,TH,2021-07-25,76,83.08,11.18
413,magadan,12.5847,-81.7006,75,CO,2021-07-25,74,86.02,11.5
414,bom jardim,-9.1061,124.8925,30,ID,2021-07-25,77,66.81,4.5
415,garm,-22.45,18.9667,1,NA,2021-07-25,40,56.23,11.32
416,kutum,65.8167,87.9833,27,RU,2021-07-25,85,64.51,1.74
417,vanavara,33.427,-117.612,99,US,2021-07-25,85,80.78,4
418,urucara,56.4773,57.7259,28,RU,2021-07-25,67,52.07,2.53
419,oyama,-28.65,153.6167,1,AU,2021-07-25,64,49.87,7.27
420,chokurdakh,50.4772,46.4814,6,RU,2021-07-25,41,70.45,6.11
421,kattivakkam,47.6461,42.1019,0,RU,2021-07-25,41,84.88,7.43
422,nambucca heads,59.6425,-151.5483,20,US,2021-07-25,89,58.08,4.61
423,labutta,6.1241,81.1185,79,LK,2021-07-25,79,80.15,17.22
424,santa maria,4.8845,-1.7554,62,GH,2021-07-25,70,78.55,13.58
425,mitu,-0.8667,134.0833,98,ID,2021-07-25,78,78.22,4.59
426,tongzhou,32.7941,-79.8626,1,US,2021-07-25,70,89.98,1.01
427,lompoc,37.7167,-25.4333,48,PT,2021-07-25,69,75.61,8.16
428,kenai,-2.8856,-40.12,48,BR,2021-07-25,46,89.11,16.08
429,gundorovskiy,-10.4544,161.9205,72,SB,2021-07-25,84,78.3,7.09
430,aktash,-7.0744,-40.3761,0,BR,2021-07-25,15,89.37,11.83
431,eskilstuna,37.4636,-122.4286,90,US,2021-07-25,78,76.05,1.01
432,san patricio,27.181,31.1837,0,EG,2021-07-25,20,96.98,8.28
433,hobyo,-34.0033,24.7314,51,ZA,2021-07-25,48,55.89,1.14
434,aden,53.0452,158.6483,90,RU,2021-07-25,100,48.79,4.47
435,lemesos,51.0333,-4.2167,94,GB,2021-07-25,77,74.34,8.61
436,dabola,20.4487,121.9702,98,PH,2021-07-25,87,82.54,31.29
437,sung noen,38.033,-122.2669,1,US,2021-07-25,77,76.24,10
438,eydhafushi,-20.7333,139.5,4,AU,2021-07-25,37,51.57,1.14
439,la sarre,68.0531,39.5131,94,RU,2021-07-25,84,46.49,17.72
440,aksha,65.5333,72.5167,81,RU,2021-07-25,78,50.68,13.24
441,xichang,-5.6667,132.75,100,ID,2021-07-25,79,79.72,19.04
442,beitbridge,21.2667,81.5167,27,IN,2021-07-25,77,80.94,12.86
443,roald,44.1667,66.75,0,KZ,2021-07-25,18,93.27,10.22
444,srednekolymsk,3.5167,15.05,94,CM,2021-07-25,91,74.08,2.08
445,tateyama,56.5075,34.9354,100,RU,2021-07-25,61,66.31,1.79
446,tabat,18.4411,1.4078,66,ML,2021-07-25,40,91.35,21.45
447,tahta,-20.3167,118.5667,9,AU,2021-07-25,77,60.85,5.75
448,yaring,43.9622,133.0544,100,RU,2021-07-25,88,69.96,5.1
449,samut prakan,-18.0607,13.84,0,NA,2021-07-25,22,69.48,7.47
450,san andres,42.0304,-8.1588,46,PT,2021-07-25,74,69.22,9.75
451,atambua,12.25,109.1833,25,VN,2021-07-25,73,84.2,6.44
452,gobabis,67.8006,130.4114,51,RU,2021-07-25,78,51.85,0.63
453,turukhansk,65.5833,-171,100,RU,2021-07-25,99,44.11,5.75
454,san clemente,18.2164,42.5053,40,SA,2021-07-25,83,69.62,4.61
455,sarana,16.7067,103.0788,100,TH,2021-07-25,88,80.15,15.1
456,byron bay,44.0529,8.216,40,IT,2021-07-25,81,88.36,4
457,staraya poltavka,12.5822,-1.2983,79,BF,2021-07-25,47,87.84,8.12
458,tsimlyansk,56.4678,73.611,93,RU,2021-07-25,97,63.19,12.77
459,homer,-13.7833,14.6833,0,AO,2021-07-25,22,66.15,3.62
460,hambantota,-4.5772,-81.2719,75,PE,2021-07-25,78,74.16,14.97
461,inderborskiy,-20.3428,57.7575,40,MU,2021-07-25,56,71.85,11.5
462,takoradi,59.2353,163.0719,84,RU,2021-07-25,97,54.25,3.76
463,manokwari,38.421,-121.4238,1,US,2021-07-25,58,95.65,8.05
464,mount pleasant,56.2875,70.4555,65,RU,2021-07-25,94,55.65,10.49
465,cumaribo,-18.4733,-47.2003,0,BR,2021-07-25,29,76.48,7.9
466,vila franca do campo,-15.8064,35.6507,53,MW,2021-07-25,76,57.69,6.13
467,acarau,68.3499,-133.7218,90,CA,2021-07-25,87,54.36,12.66
468,kirakira,-23.85,151.25,12,AU,2021-07-25,62,54.79,4.61
469,campos sales,37.5683,126.9778,0,KR,2021-07-25,78,81.79,3.44
470,half moon bay,36.6177,-121.9166,90,US,2021-07-25,91,67.8,1.01
471,asyut,-0.4819,15.8999,82,CG,2021-07-25,34,86.99,2.53
472,kruisfontein,38.6979,-9.4215,75,PT,2021-07-25,70,75.47,1.01
473,petropavlovsk-kamchatskiy,46.6166,10.7002,73,IT,2021-07-25,74,69.03,4.76
474,northam,55.3068,79.6802,88,RU,2021-07-25,75,67.91,4.07
475,basco,-32.5,137.7667,3,AU,2021-07-25,80,50.7,9.33
476,rodeo,55.4627,-4.6339,20,GB,2021-07-25,60,77.31,16.11
477,mount isa,49.1939,35.2394,91,UA,2021-07-25,51,74.52,5.41
478,ostrovnoy,28.2333,83.9833,100,NP,2021-07-25,91,75.11,0.92
479,nadym,16.0589,-61.7659,58,GP,2021-07-25,80,87.37,13.94
480,yian,-0.95,-80.7333,90,EC,2021-07-25,78,76.78,4.61
481,tual,-16.7833,-151.5,2,PF,2021-07-25,67,77.61,14.41
482,kumhari,49.4867,105.9228,95,MN,2021-07-25,72,60.64,4.47
483,shieli,60.8953,131.9608,41,RU,2021-07-25,95,56.57,2.84
484,yokadouma,50.0334,-66.8654,95,CA,2021-07-25,74,68.22,9.01
485,staritsa,-34.7333,135.8667,29,AU,2021-07-25,86,55.15,16.91
486,kidal,-30.0319,-70.7081,2,CL,2021-07-25,34,63.77,6.13
487,port hedland,63.5592,27.1907,94,FI,2021-07-25,55,75.22,1.66
488,anuchino,54.5163,-128.6035,90,CA,2021-07-25,94,57.42,0
489,opuwo,24.7833,85,75,IN,2021-07-25,84,84.11,0
490,vila,-8.19,114.9675,17,ID,2021-07-25,75,76.86,3.6
491,nha trang,42.2368,46.8307,96,RU,2021-07-25,96,61.95,0.92
492,batagay-alyta,27.7167,85.3167,75,NP,2021-07-25,100,70.02,2.3
493,lavrentiya,28.1667,94.7667,100,IN,2021-07-25,99,77.25,0.58
494,abha,5.4444,73.3657,100,MV,2021-07-25,77,81.86,19.86
495,kranuan,48.2766,-116.5533,1,US,2021-07-25,40,83.55,0
496,albenga,62.6667,135.6,79,RU,2021-07-25,96,53.64,2.37
497,ziniare,1.2391,23.616,64,CD,2021-07-25,58,80.38,0.31
498,kolosovka,-6.9811,-34.8339,9,BR,2021-07-25,68,75.87,16.08
499,caluquembe,-13.8833,167.55,48,VU,2021-07-25,81,79.5,11.1
500,talara,-19.9842,57.6142,0,MU,2021-07-25,60,72.09,8.99
501,mahaicony,37.0965,-4.3887,0,ES,2021-07-25,20,90.16,14.43
502,bambous virieux,58.5169,-117.136,75,CA,2021-07-25,88,57.31,4.61
503,ossora,9.285,105.7244,79,VN,2021-07-25,84,79.11,8.63
504,laguna,4.8699,-2.2405,46,GH,2021-07-25,68,78.58,11.32
505,abatskoye,54.7682,-101.865,90,CA,2021-07-25,88,60.64,3.44
506,coromandel,-22.092,-70.1979,98,CL,2021-07-25,64,66.25,10.83
507,phalombe,0.6,-80.0333,99,EC,2021-07-25,78,78.91,11.01
508,inuvik,59.4511,112.5578,61,RU,2021-07-25,65,60.85,3.87
509,gladstone,18.0384,-71.744,24,DO,2021-07-25,69,84.67,6.87
510,seoul,-22.0866,-65.5942,96,BO,2021-07-25,19,56.37,10.85
511,pacific grove,9.6139,6.5569,40,NG,2021-07-25,62,85.71,13.8
512,owando,-14.5033,-42.2222,1,BR,2021-07-25,34,79.59,12.82
513,cascais,20.1444,-75.2092,60,CU,2021-07-25,49,87.37,8.34
514,lasa,32.3502,-85.1999,1,US,2021-07-25,66,90.37,0
515,ubinskoye,62.487,17.3257,0,SE,2021-07-25,54,74.68,13.8
516,port augusta,-4.5767,30.1025,6,TZ,2021-07-25,63,64.92,5.73
517,ayr,-8.8368,13.2343,3,AO,2021-07-25,79,72.14,12.84
518,zachepylivka,4.375,-7.7169,86,LR,2021-07-25,68,79.02,7.85
519,sumbawa,31.2089,16.5887,0,LY,2021-07-25,60,82.4,12.55
520,pokhara,15.7432,-96.4661,100,MX,2021-07-25,53,92.82,4.47
521,vieux-habitants,-38.5473,-58.7368,100,AR,2021-07-25,83,53.04,18.12
522,manta,21.2333,79.2,36,IN,2021-07-25,78,79.14,15.26
523,tevaitoa,-1.5746,9.2618,80,GA,2021-07-25,74,75.06,9.66
524,darhan,-12.7406,-60.1458,0,BR,2021-07-25,45,86.22,12.66
525,amga,48.0056,91.6419,79,MN,2021-07-25,49,69.12,3.38
526,port-cartier,-35.6167,174.5,100,NZ,2021-07-25,96,59.16,30.02
527,port lincoln,-9.5402,16.341,2,AO,2021-07-25,23,76.6,4.18
528,vicuna,17.486,120.4348,100,PH,2021-07-25,89,79.47,13.24
529,iisalmi,53.5001,-112.0518,100,CA,2021-07-25,60,66.74,11.5
530,terrace,42.8,93.45,1,CN,2021-07-25,18,89.42,10.89
531,gaya,12.3807,17.0568,100,TD,2021-07-25,81,76.73,8.61
532,banjar,16.2923,119.8062,100,PH,2021-07-25,84,81.21,20.4
533,tsurib,67.5447,133.385,46,RU,2021-07-25,71,55.29,3.47
534,kathmandu,59.3556,5.2242,0,NO,2021-07-25,68,73.29,9.22
535,along,59.3232,13.4655,41,SE,2021-07-25,44,77.56,8.05
536,naifaru,34.37,73.4711,93,PK,2021-07-25,74,83.14,3.44
537,sandpoint,-0.1303,-67.0892,75,BR,2021-07-25,84,84,2.3
538,khandyga,-19.3833,47.4167,99,MG,2021-07-25,94,51.57,7.52
539,basoko,57.8406,108.3492,57,RU,2021-07-25,66,63.1,3.8
540,bokspits,-8.145,159.5921,71,SB,2021-07-25,84,79.34,7.78
541,cabedelo,17.1503,-25.0201,74,CV,2021-07-25,72,80.38,12.46
542,tumannyy,-39.8142,-73.2459,100,CL,2021-07-25,96,50.09,3.69
543,sola,32.5007,-94.7405,1,US,2021-07-25,55,89.01,1.01
544,cap malheureux,34.7961,46.5172,0,IR,2021-07-25,16,85.14,8.41
545,archidona,66.4043,14.5233,20,NO,2021-07-25,64,73.18,5.75
546,high level,40.3267,-78.922,40,US,2021-07-25,73,82.38,11.5
547,bac lieu,-0.6136,-47.3561,30,BR,2021-07-25,60,85.64,10.49
548,axim,9.1104,18.3463,40,TD,2021-07-25,74,82.35,6.91
549,flin flon,-35.1667,173.1667,82,NZ,2021-07-25,93,57.24,8.88
550,tocopilla,12.15,-68.2667,20,BQ,2021-07-25,74,85.98,13.8
551,muisne,-23.65,-70.4,72,CL,2021-07-25,58,66.22,9.62
552,vitim,54.0359,19.0266,94,PL,2021-07-25,55,83.88,3.94
553,pedernales,29.5958,-90.7195,40,US,2021-07-25,74,93.2,3.44
554,villazon,42.7762,-9.0603,52,ES,2021-07-25,66,81.68,12.39
555,minna,34.8791,-76.9013,40,US,2021-07-25,70,88.05,1.99
556,cacule,32.0633,12.5286,0,LY,2021-07-25,16,90.82,16.35
557,guantanamo,38.1711,13.2393,0,IT,2021-07-25,47,89.08,1.99
558,russell,50.2289,-99.4664,36,CA,2021-07-25,23,79.81,15.1
559,timra,3.1667,113.0333,20,MY,2021-07-25,94,81.01,0
560,kasulu,30.6945,78.4932,100,IN,2021-07-25,99,70.05,1.28
561,luanda,44.0787,-80.2041,5,CA,2021-07-25,45,81.73,11.14
562,barbar,-28.55,16.4333,100,NA,2021-07-25,30,66.18,5.35
563,harper,50.6977,103.4656,49,RU,2021-07-25,84,51.37,3.58
564,surt,36.4681,8.5495,92,TN,2021-07-25,21,109.06,10.94
565,pochutla,8.0647,-78.3628,100,PA,2021-07-25,86,78.12,8.32
566,necochea,69.6496,18.957,75,NO,2021-07-25,93,56.05,1.99
567,kamthi,-24.32,-46.9983,0,BR,2021-07-25,43,76.8,5.14
568,omboue,4.8256,8.2343,98,NG,2021-07-25,75,78.57,6.06
569,vilhena,51.4,128.1333,2,RU,2021-07-25,84,63.77,1.63
570,hovd,53.1167,126.3333,2,RU,2021-07-25,94,59.79,4.29
571,ngunguru,13.35,-15.75,100,GM,2021-07-25,56,86.68,8.37
572,malanje,70.8578,29.0864,100,NO,2021-07-25,82,48.2,19.44
573,santa,46.4856,135.8833,86,RU,2021-07-25,90,65.86,4.74
574,vegreville,43.2,51.65,0,KZ,2021-07-25,27,92.43,12.66
575,hami,42.63,131.0922,77,RU,2021-07-25,96,74.14,4.92
576,bokoro,61.3482,16.3946,42,SE,2021-07-25,38,79.39,8.61
577,scottsburgh,36.297,59.6062,0,IR,2021-07-25,24,91.54,6.91
578,catuday,2.9333,11.9833,94,CM,2021-07-25,95,70.3,4.21
579,verkhoyansk,65.9667,78.3667,100,RU,2021-07-25,77,59.88,5.88
580,visnes,-2.1861,-56.7131,72,BR,2021-07-25,32,95.56,5.1
581,skoghall,42.4308,130.6434,73,RU,2021-07-25,96,73.74,3.76
582,muzaffarabad,25.0213,37.2685,4,SA,2021-07-25,47,89.19,7.11
583,sao gabriel da cachoeira,33.9911,-6.8401,20,MA,2021-07-25,76,83.05,9.22
584,ambatolampy,39.2061,54.5906,1,TM,2021-07-25,68,84.16,13.8
585,alekseyevsk,68.5333,146.4167,75,RU,2021-07-25,69,45.79,8.41
